          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
   43.875     0     0     0.0      0      0 |   15   676    0.0663    0.0044    0.0000 |
   44.850     0     0     0.0      0      0 |   15   691    0.0661    0.0044    0.0000 |
   45.825     0     0     0.0      0      0 |   15   706    0.0676    0.0045    0.0000 |
   46.800     0     0     0.0      0      0 |   15   721    0.0665    0.0044    0.0000 |
   47.775     0     0     0.0      0      0 |   15   736    0.0661    0.0044    0.0000 |
   48.750     0     0     0.0      0      0 |   15   751    0.0663    0.0044    0.0000 |
   49.725     0     0     0.0      0      0 |   15   766    0.0662    0.0044    0.0000 |
   50.700     0     4     2.9     44     44 |   15   781    0.2144    0.0143    0.0049 |
   51.675     4     4     4.0     60    104 |   15   796    0.2667    0.0178    0.0044 |
   52.650     4     4     4.0     60    164 |   15   811    0.2656    0.0177    0.0044 |
   53.625     4     4     4.0     60    224 |   15   826    0.2653    0.0177    0.0044 |
   54.600     4     4     4.0     60    284 |   15   841    0.2659    0.0177    0.0044 |
   55.575     4     4     4.0     60    344 |   15   856    0.2663    0.0178    0.0044 |
   56.550     4     4     4.0     60    404 |   15   871    0.2652    0.0177    0.0044 |
   57.525     4     4     4.0     60    464 |   15   886    0.2652    0.0177    0.0044 |
   58.500     4     4     4.0     60    524 |   15   901    0.2656    0.0177    0.0044 |
   59.475     4     4     4.0     60    584 |   15   916    0.2657    0.0177    0.0044 |
   60.450     4     4     4.0     60    644 |   15   931    0.2645    0.0176    0.0044 |
   61.425     4     4     4.0     60    704 |   15   946    0.2656    0.0177    0.0044 |
   62.400     4     4     4.0     60    764 |   15   961    0.2683    0.0179    0.0045 |
   63.375     4     4     4.0     60    824 |   15   976    0.2645    0.0176    0.0044 |
   64.350     4     4     4.0     60    884 |   15   991    0.2651    0.0177    0.0044 |
   65.325     4     4     4.0     60    944 |   15  1006    0.2655    0.0177    0.0044 |
   66.300     4     4     4.0     60   1004 |   15  1021    0.2658    0.0177    0.0044 |
   67.275     4     4     4.0     60   1064 |   15  1036    0.2645    0.0176    0.0044 |
   68.250     4     4     4.0     60   1124 |   15  1051    0.2641    0.0176    0.0044 |
   69.225     4     4     4.0     60   1184 |   15  1066    0.2638    0.0176    0.0044 |
   70.200     4     4     4.0     60   1244 |   15  1081    0.2636    0.0176    0.0044 |
   71.175     4     4     4.0     60   1304 |   15  1096    0.2663    0.0178    0.0044 |
   72.150     4     4     4.0     60   1364 |   15  1111    0.2649    0.0177    0.0044 |
   73.125     4     4     4.0     60   1424 |   15  1126    0.2642    0.0176    0.0044 |
   74.100     4     4     4.0     60   1484 |   15  1141    0.2644    0.0176    0.0044 |
   75.075     4     4     4.0     60   1544 |   15  1156    0.2627    0.0175    0.0044 |
   76.050     4     4     4.0     60   1604 |   15  1171    0.2642    0.0176    0.0044 |
   77.025     4     4     4.0     60   1664 |   15  1186    0.2646    0.0176    0.0044 |
   78.000     4     4     4.0     60   1724 |   15  1201    0.2637    0.0176    0.0044 |
   78.975     4     4     4.0     60   1784 |   15  1216    0.2657    0.0177    0.0044 |
