          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  130.650    15  2011 |    0.0159    2.6231 |
  131.625    15  2026 |    0.0159    2.6390 |
  132.600    15  2041 |    0.0159    2.6549 |
  133.575    15  2056 |    0.0159    2.6708 |
  134.550    15  2071 |    0.0159    2.6867 |
  135.525    15  2086 |    0.0159    2.7026 |
  136.500    15  2101 |    0.0160    2.7186 |
  137.475    15  2116 |    0.0159    2.7345 |
  138.450    15  2131 |    0.0159    2.7504 |
  139.425    15  2146 |    0.0159    2.7663 |
  140.400    15  2161 |    0.0159    2.7823 |
  141.375    15  2176 |    0.0160    2.7983 |
  142.350    15  2191 |    0.0159    2.8141 |
  143.325    15  2206 |    0.0163    2.8305 |
  144.300    15  2221 |    0.0159    2.8464 |
  145.275    15  2236 |    0.0160    2.8623 |
  146.250    15  2251 |    0.0159    2.8783 |
  147.225    15  2266 |    0.0160    2.8942 |
  148.200    15  2281 |    0.0160    2.9102 |
  149.175    15  2296 |    0.0160    2.9262 |
  150.150    15  2311 |    0.0159    2.9421 |
  151.125    15  2326 |    0.0160    2.9581 |
  152.100    15  2341 |    0.0159    2.9740 |
  153.075    15  2356 |    0.0160    2.9900 |
  154.050    15  2371 |    0.0159    3.0059 |
  155.025    15  2386 |    0.0159    3.0218 |
  156.000    15  2401 |    0.0161    3.0379 |
  156.975    15  2416 |    0.0161    3.0540 |
  157.950    15  2431 |    0.0159    3.0699 |
  158.925    15  2446 |    0.0159    3.0859 |
  159.900    15  2461 |    0.0159    3.1018 |
  160.875    15  2476 |    0.0160    3.1177 |
  161.850    15  2491 |    0.0160    3.1337 |
  162.825    15  2506 |    0.0160    3.1497 |
  163.800    15  2521 |    0.0161    3.1658 |
  164.775    15  2536 |    0.0159    3.1817 |
  165.750    15  2551 |    0.0159    3.1976 |
  166.725    15  2566 |    0.0160    3.2136 |
  167.700    15  2581 |    0.0159    3.2294 |
  168.675    15  2596 |    0.0159    3.2453 |
  169.650    15  2611 |    0.0159    3.2613 |
  170.625    15  2626 |    0.0159    3.2772 |
  171.600    15  2641 |    0.0160    3.2932 |
  172.575    15  2656 |    0.0161    3.3092 |
  173.550    15  2671 |    0.0160    3.3252 |
  174.525    15  2686 |    0.0160    3.3412 |
  175.500    15  2701 |    0.0159    3.3571 |
  176.475    15  2716 |    0.0160    3.3731 |
  177.450    15  2731 |    0.0159    3.3890 |
  178.425    15  2746 |    0.0159    3.4049 |
  179.400    15  2761 |    0.0159    3.4209 |
  180.375    15  2776 |    0.0161    3.4369 |
  181.350    15  2791 |    0.0159    3.4529 |
  182.325    15  2806 |    0.0159    3.4688 |
  183.300    15  2821 |    0.0159    3.4848 |
  184.275    15  2836 |    0.0160    3.5008 |
  185.250    15  2851 |    0.0160    3.5168 |
  186.225    15  2866 |    0.0160    3.5328 |
  187.200    15  2881 |    0.0160    3.5488 |
  188.175    15  2896 |    0.0161    3.5648 |
  189.150    15  2911 |    0.0160    3.5808 |
  190.125    15  2926 |    0.0160    3.5968 |
  191.100    15  2941 |    0.0161    3.6129 |
  192.075    15  2956 |    0.0161    3.6290 |
  193.050    15  2971 |    0.0162    3.6452 |
  194.025    15  2986 |    0.0161    3.6613 |
  195.000    15  3001 |    0.0159    3.6772 |
  195.975    15  3016 |    0.0159    3.6932 |
  196.950    15  3031 |    0.0161    3.7093 |
  197.925    15  3046 |    0.0162    3.7255 |
  198.900    15  3061 |    0.0159    3.7414 |
  199.875    15  3076 |    0.0160    3.7574 |
  200.850    15  3091 |    0.0160    3.7734 |
  201.825    15  3106 |    0.0159    3.7893 |
  202.800    15  3121 |    0.0162    3.8055 |
  203.775    15  3136 |    0.0160    3.8215 |
  204.750    15  3151 |    0.0159    3.8375 |
  205.725    15  3166 |    0.0160    3.8534 |
  206.700    15  3181 |    0.0159    3.8693 |
  207.675    15  3196 |    0.0159    3.8853 |
  208.650    15  3211 |    0.0160    3.9012 |
  209.625    15  3226 |    0.0159    3.9172 |
  210.600    15  3241 |    0.0160    3.9332 |
  211.575    15  3256 |    0.0159    3.9491 |
  212.550    15  3271 |    0.0159    3.9650 |
  213.525    15  3286 |    0.0160    3.9810 |
  214.500    15  3301 |    0.0160    3.9970 |
  215.475    15  3316 |    0.0159    4.0129 |
  216.450    15  3331 |    0.0160    4.0289 |
  217.425    15  3346 |    0.0159    4.0448 |
  218.400    15  3361 |    0.0159    4.0607 |
  219.375    15  3376 |    0.0160    4.0766 |
  220.350    15  3391 |    0.0161    4.0928 |
