          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
   81.900     4     4     4.0     60   1964 |   15  1261    0.2669    0.0178    0.0044 |
   82.875     4     4     4.0     60   2024 |   15  1276    0.2657    0.0177    0.0044 |
   83.850     4     4     4.0     60   2084 |   15  1291    0.2667    0.0178    0.0044 |
   84.825     4     4     4.0     60   2144 |   15  1306    0.2654    0.0177    0.0044 |
   85.800     4     4     4.0     60   2204 |   15  1321    0.2654    0.0177    0.0044 |
   86.775     4     4     4.0     60   2264 |   15  1336    0.2692    0.0179    0.0045 |
   87.750     4     4     4.0     60   2324 |   15  1351    0.2661    0.0177    0.0044 |
   88.725     4     4     4.0     60   2384 |   15  1366    0.2657    0.0177    0.0044 |
   89.700     4     4     4.0     60   2444 |   15  1381    0.2650    0.0177    0.0044 |
   90.675     4     4     4.0     60   2504 |   15  1396    0.2660    0.0177    0.0044 |
   91.650     4     4     4.0     60   2564 |   15  1411    0.2649    0.0177    0.0044 |
   92.625     4     4     4.0     60   2624 |   15  1426    0.2644    0.0176    0.0044 |
   93.600     4     4     4.0     60   2684 |   15  1441    0.2655    0.0177    0.0044 |
   94.575     4     4     4.0     60   2744 |   15  1456    0.2677    0.0178    0.0045 |
   95.550     4     4     4.0     60   2804 |   15  1471    0.2879    0.0192    0.0048 |
   96.525     4     4     4.0     60   2864 |   15  1486    0.2664    0.0178    0.0044 |
   97.500     4     4     4.0     60   2924 |   15  1501    0.2648    0.0177    0.0044 |
   98.475     4     4     4.0     60   2984 |   15  1516    0.2653    0.0177    0.0044 |
   99.450     4     4     4.0     60   3044 |   15  1531    0.2652    0.0177    0.0044 |
  100.425     4     4     4.0     60   3104 |   15  1546    0.2659    0.0177    0.0044 |
  101.400     4     4     4.0     60   3164 |   15  1561    0.2645    0.0176    0.0044 |
  102.375     4     4     4.0     60   3224 |   15  1576    0.2658    0.0177    0.0044 |
  103.350     4     4     4.0     60   3284 |   15  1591    0.2685    0.0179    0.0045 |
  104.325     4     4     4.0     60   3344 |   15  1606    0.2666    0.0178    0.0044 |
  105.300     4     4     4.0     60   3404 |   15  1621    0.2672    0.0178    0.0045 |
  106.275     4     4     4.0     60   3464 |   15  1636    0.2669    0.0178    0.0044 |
  107.250     4     4     4.0     60   3524 |   15  1651    0.2658    0.0177    0.0044 |
  108.225     4     4     4.0     60   3584 |   15  1666    0.2654    0.0177    0.0044 |
  109.200     4     4     4.0     60   3644 |   15  1681    0.2671    0.0178    0.0045 |
  110.175     4     4     4.0     60   3704 |   15  1696    0.2674    0.0178    0.0045 |
  111.150     4     4     4.0     60   3764 |   15  1711    0.2646    0.0176    0.0044 |
  112.125     4     4     4.0     60   3824 |   15  1726    0.2661    0.0177    0.0044 |
  113.100     4     4     4.0     60   3884 |   15  1741    0.2658    0.0177    0.0044 |
  114.075     4     4     4.0     60   3944 |   15  1756    0.2661    0.0177    0.0044 |
  115.050     4     4     4.0     60   4004 |   15  1771    0.2653    0.0177    0.0044 |
  116.025     4     4     4.0     60   4064 |   15  1786    0.2667    0.0178    0.0044 |
  117.000     4     4     4.0     60   4124 |   15  1801    0.2655    0.0177    0.0044 |
  117.975     4     4     4.0     60   4184 |   15  1816    0.2652    0.0177    0.0044 |
  118.950     4     4     4.0     60   4244 |   15  1831    0.2662    0.0177    0.0044 |
  119.925     4     4     4.0     60   4304 |   15  1846    0.2685    0.0179    0.0045 |
  120.900     4     4     4.0     60   4364 |   15  1861    0.2662    0.0177    0.0044 |
  121.875     4     4     4.0     60   4424 |   15  1876    0.2650    0.0177    0.0044 |
  122.850     4     4     4.0     60   4484 |   15  1891    0.2674    0.0178    0.0045 |
  123.825     4     4     4.0     60   4544 |   15  1906    0.2646    0.0176    0.0044 |
  124.800     4     4     4.0     60   4604 |   15  1921    0.2645    0.0176    0.0044 |
  125.775     4     4     4.0     60   4664 |   15  1936    0.2667    0.0178    0.0044 |
  126.750     4     4     4.0     60   4724 |   15  1951    0.2665    0.0178    0.0044 |
  127.725     4     4     4.0     60   4784 |   15  1966    0.2674    0.0178    0.0045 |
  128.700     4     4     4.0     60   4844 |   15  1981    0.2647    0.0176    0.0044 |
  129.675     4     4     4.0     60   4904 |   15  1996    0.2658    0.0177    0.0044 |
  130.650     4     4     4.0     60   4964 |   15  2011    0.2669    0.0178    0.0044 |
  131.625     4     4     4.0     60   5024 |   15  2026    0.2656    0.0177    0.0044 |
  132.600     4     4     4.0     60   5084 |   15  2041    0.2647    0.0176    0.0044 |
  133.575     4     4     4.0     60   5144 |   15  2056    0.2658    0.0177    0.0044 |
  134.550     4     4     4.0     60   5204 |   15  2071    0.2677    0.0178    0.0045 |
  135.525     4     4     4.0     60   5264 |   15  2086    0.2660    0.0177    0.0044 |
  136.500     4     4     4.0     60   5324 |   15  2101    0.2680    0.0179    0.0045 |
  137.475     4     4     4.0     60   5384 |   15  2116    0.2654    0.0177    0.0044 |
  138.450     4     4     4.0     60   5444 |   15  2131    0.2680    0.0179    0.0045 |
  139.425     4     4     4.0     60   5504 |   15  2146    0.2656    0.0177    0.0044 |
  140.400     4     4     4.0     60   5564 |   15  2161    0.2657    0.0177    0.0044 |
  141.375     4     4     4.0     60   5624 |   15  2176    0.2671    0.0178    0.0045 |
  142.350     4     4     4.0     60   5684 |   15  2191    0.2662    0.0177    0.0044 |
  143.325     4     4     4.0     60   5744 |   15  2206    0.2648    0.0177    0.0044 |
  144.300     4     4     4.0     60   5804 |   15  2221    0.2647    0.0176    0.0044 |
  145.275     4     4     4.0     60   5864 |   15  2236    0.2653    0.0177    0.0044 |
  146.250     4     4     4.0     60   5924 |   15  2251    0.2661    0.0177    0.0044 |
  147.225     4     4     4.0     60   5984 |   15  2266    0.2646    0.0176    0.0044 |
  148.200     4     4     4.0     60   6044 |   15  2281    0.2650    0.0177    0.0044 |
  149.175     4     4     4.0     60   6104 |   15  2296    0.2664    0.0178    0.0044 |
  150.150     4     4     4.0     60   6164 |   15  2311    0.2661    0.0177    0.0044 |
  151.125     4     4     4.0     60   6224 |   15  2326    0.2656    0.0177    0.0044 |
  152.100     4     4     4.0     60   6284 |   15  2341    0.2654    0.0177    0.0044 |
  153.075     4     4     4.0     60   6344 |   15  2356    0.2748    0.0183    0.0046 |
  154.050     4     4     4.0     60   6404 |   15  2371    0.2676    0.0178    0.0045 |
  155.025     4     4     4.0     60   6464 |   15  2386    0.2656    0.0177    0.0044 |
  156.000     4     4     4.0     60   6524 |   15  2401    0.2660    0.0177    0.0044 |
  156.975     4     4     4.0     60   6584 |   15  2416    0.2651    0.0177    0.0044 |
  157.950     4     4     4.0     60   6644 |   15  2431    0.2660    0.0177    0.0044 |
  158.925     4     4     4.0     60   6704 |   15  2446    0.2656    0.0177    0.0044 |
  159.900     4     4     4.0     60   6764 |   15  2461    0.2656    0.0177    0.0044 |
  160.875     4     4     4.0     60   6824 |   15  2476    0.2648    0.0177    0.0044 |
  161.850     4     4     4.0     60   6884 |   15  2491    0.2665    0.0178    0.0044 |
  162.825     4     4     4.0     60   6944 |   15  2506    0.2652    0.0177    0.0044 |
  163.800     4     4     4.0     60   7004 |   15  2521    0.2664    0.0178    0.0044 |
  164.775     4     4     4.0     60   7064 |   15  2536    0.2663    0.0178    0.0044 |
  165.750     4     4     4.0     60   7124 |   15  2551    0.2658    0.0177    0.0044 |
  166.725     4     4     4.0     60   7184 |   15  2566    0.2665    0.0178    0.0044 |
  167.700     4     4     4.0     60   7244 |   15  2581    0.2654    0.0177    0.0044 |
  168.675     4     4     4.0     60   7304 |   15  2596    0.2653    0.0177    0.0044 |
  169.650     4     4     4.0     60   7364 |   15  2611    0.2658    0.0177    0.0044 |
  170.625     4     4     4.0     60   7424 |   15  2626    0.2686    0.0179    0.0045 |
  171.600     4     4     4.0     60   7484 |   15  2641    0.2662    0.0177    0.0044 |
  172.575     4     4     4.0     60   7544 |   15  2656    0.2653    0.0177    0.0044 |
  173.550     4     4     4.0     60   7604 |   15  2671    0.2667    0.0178    0.0044 |
  174.525     4     4     4.0     60   7664 |   15  2686    0.2659    0.0177    0.0044 |
  175.500     4     4     4.0     60   7724 |   15  2701    0.2653    0.0177    0.0044 |
  176.475     4     4     4.0     60   7784 |   15  2716    0.2655    0.0177    0.0044 |
  177.450     4     4     4.0     60   7844 |   15  2731    0.2648    0.0177    0.0044 |
  178.425     4     4     4.0     60   7904 |   15  2746    0.2664    0.0178    0.0044 |
  179.400     4     4     4.0     60   7964 |   15  2761    0.2677    0.0178    0.0045 |
  180.375     4     4     4.0     60   8024 |   15  2776    0.2692    0.0179    0.0045 |
  181.350     4     4     4.0     60   8084 |   15  2791    0.2670    0.0178    0.0044 |
  182.325     4     4     4.0     60   8144 |   15  2806    0.2660    0.0177    0.0044 |
  183.300     4     4     4.0     60   8204 |   15  2821    0.2660    0.0177    0.0044 |
  184.275     4     4     4.0     60   8264 |   15  2836    0.2672    0.0178    0.0045 |
  185.250     4     4     4.0     60   8324 |   15  2851    0.2645    0.0176    0.0044 |
  186.225     4     4     4.0     60   8384 |   15  2866    0.2665    0.0178    0.0044 |
  187.200     4     4     4.0     60   8444 |   15  2881    0.2685    0.0179    0.0045 |
  188.175     4     4     4.0     60   8504 |   15  2896    0.2658    0.0177    0.0044 |
  189.150     4     4     4.0     60   8564 |   15  2911    0.2670    0.0178    0.0045 |
  190.125     4     4     4.0     60   8624 |   15  2926    0.2671    0.0178    0.0045 |
  191.100     4     4     4.0     60   8684 |   15  2941    0.2649    0.0177    0.0044 |
  192.075     4     4     4.0     60   8744 |   15  2956    0.2669    0.0178    0.0044 |
  193.050     4     4     4.0     60   8804 |   15  2971    0.2654    0.0177    0.0044 |
  194.025     4     4     4.0     60   8864 |   15  2986    0.2649    0.0177    0.0044 |
  195.000     4     4     4.0     60   8924 |   15  3001    0.2645    0.0176    0.0044 |
  195.975     4     4     4.0     60   8984 |   15  3016    0.2657    0.0177    0.0044 |
  196.950     4     4     4.0     60   9044 |   15  3031    0.2670    0.0178    0.0044 |
  197.925     4     4     4.0     60   9104 |   15  3046    0.2655    0.0177    0.0044 |
  198.900     4     4     4.0     60   9164 |   15  3061    0.2666    0.0178    0.0044 |
  199.875     4     4     4.0     60   9224 |   15  3076    0.2683    0.0179    0.0045 |
  200.850     4     4     4.0     60   9284 |   15  3091    0.2675    0.0178    0.0045 |
  201.825     4     4     4.0     60   9344 |   15  3106    0.2651    0.0177    0.0044 |
  202.800     4     4     4.0     60   9404 |   15  3121    0.2658    0.0177    0.0044 |
  203.775     3     4     3.6     54   9458 |   15  3136    0.2491    0.0166    0.0046 |
  204.750     3     3     3.0     45   9503 |   15  3151    0.2157    0.0144    0.0048 |
  205.725     3     3     3.0     45   9548 |   15  3166    0.2159    0.0144    0.0048 |
  206.700     3     3     3.0     45   9593 |   15  3181    0.2150    0.0143    0.0048 |
  207.675     3     3     3.0     45   9638 |   15  3196    0.2167    0.0144    0.0048 |
  208.650     3     3     3.0     45   9683 |   15  3211    0.2174    0.0145    0.0048 |
  209.625     3     3     3.0     45   9728 |   15  3226    0.2159    0.0144    0.0048 |
  210.600     3     3     3.0     45   9773 |   15  3241    0.2175    0.0145    0.0048 |
  211.575     3     3     3.0     45   9818 |   15  3256    0.2382    0.0159    0.0053 |
  212.550     3     3     3.0     45   9863 |   15  3271    0.2247    0.0150    0.0050 |
  213.525     3     3     3.0     45   9908 |   15  3286    0.2220    0.0148    0.0049 |
  214.500     3     3     3.0     45   9953 |   15  3301    0.2190    0.0146    0.0049 |
  215.475     3     3     3.0     45   9998 |   15  3316    0.2195    0.0146    0.0049 |
  216.450     3     3     3.0     45  10043 |   15  3331    0.2500    0.0167    0.0056 |
  217.425     3     3     3.0     45  10088 |   15  3346    0.2309    0.0154    0.0051 |
  218.400     3     3     3.0     45  10133 |   15  3361    0.2225    0.0148    0.0049 |
  219.375     3     3     3.0     45  10178 |   15  3376    0.2204    0.0147    0.0049 |
  220.350     3     3     3.0     45  10223 |   15  3391    0.2195    0.0146    0.0049 |
  221.325     3     3     3.0     45  10268 |   15  3406    0.2177    0.0145    0.0048 |
  222.300     3     3     3.0     45  10313 |   15  3421    0.2179    0.0145    0.0048 |
  223.275     3     3     3.0     45  10358 |   15  3436    0.2219    0.0148    0.0049 |
  224.250     3     3     3.0     45  10403 |   15  3451    0.2174    0.0145    0.0048 |
  225.225     3     3     3.0     45  10448 |   15  3466    0.2170    0.0145    0.0048 |
  226.200     3     3     3.0     45  10493 |   15  3481    0.2165    0.0144    0.0048 |
  227.175     3     3     3.0     45  10538 |   15  3496    0.2170    0.0145    0.0048 |
  228.150     3     3     3.0     45  10583 |   15  3511    0.2155    0.0144    0.0048 |
  229.125     3     3     3.0     45  10628 |   15  3526    0.2161    0.0144    0.0048 |
  230.100     3     3     3.0     45  10673 |   15  3541    0.2157    0.0144    0.0048 |
  231.075     3     3     3.0     45  10718 |   15  3556    0.2177    0.0145    0.0048 |
  232.050     3     3     3.0     45  10763 |   15  3571    0.2166    0.0144    0.0048 |
  233.025     3     3     3.0     45  10808 |   15  3586    0.2152    0.0143    0.0048 |
  234.000     3     3     3.0     45  10853 |   15  3601    0.2162    0.0144    0.0048 |
  234.975     3     3     3.0     45  10898 |   15  3616    0.2175    0.0145    0.0048 |
  235.950     3     3     3.0     45  10943 |   15  3631    0.2193    0.0146    0.0049 |
  236.925     3     3     3.0     45  10988 |   15  3646    0.2170    0.0145    0.0048 |
  237.900     3     3     3.0     45  11033 |   15  3661    0.2150    0.0143    0.0048 |
  238.875     3     3     3.0     45  11078 |   15  3676    0.2177    0.0145    0.0048 |
  239.850     3     3     3.0     45  11123 |   15  3691    0.2169    0.0145    0.0048 |
  240.825     3     3     3.0     45  11168 |   15  3706    0.2155    0.0144    0.0048 |
  241.800     3     3     3.0     45  11213 |   15  3721    0.2168    0.0145    0.0048 |
  242.775     3     3     3.0     45  11258 |   15  3736    0.2195    0.0146    0.0049 |
  243.750     3     3     3.0     45  11303 |   15  3751    0.3329    0.0222    0.0074 |
  244.725     3     3     3.0     45  11348 |   15  3766    0.2587    0.0172    0.0057 |
  245.700     3     3     3.0     45  11393 |   15  3781    0.2243    0.0150    0.0050 |
  246.675     3     3     3.0     45  11438 |   15  3796    0.2184    0.0146    0.0049 |
  247.650     3     3     3.0     45  11483 |   15  3811    0.2174    0.0145    0.0048 |
  248.625     3     3     3.0     45  11528 |   15  3826    0.2216    0.0148    0.0049 |
  249.600     3     3     3.0     45  11573 |   15  3841    0.2234    0.0149    0.0050 |
  250.575     3     3     3.0     45  11618 |   15  3856    0.2223    0.0148    0.0049 |
  251.550     3     3     3.0     45  11663 |   15  3871    0.2247    0.0150    0.0050 |
  252.525     3     3     3.0     45  11708 |   15  3886    0.2697    0.0180    0.0060 |
  253.500     3     3     3.0     45  11753 |   15  3901    0.2239    0.0149    0.0050 |
  254.475     3     3     3.0     45  11798 |   15  3916    0.2229    0.0149    0.0050 |
  255.450     3     3     3.0     45  11843 |   15  3931    0.2336    0.0156    0.0052 |
  256.425     3     3     3.0     45  11888 |   15  3946    0.2230    0.0149    0.0050 |
  257.400     3     3     3.0     45  11933 |   15  3961    0.2191    0.0146    0.0049 |
  258.375     3     3     3.0     45  11978 |   15  3976    0.2182    0.0145    0.0048 |
  259.350     3     3     3.0     45  12023 |   15  3991    0.2192    0.0146    0.0049 |
  260.325     3     3     3.0     45  12068 |   15  4006    0.2156    0.0144    0.0048 |
  261.300     3     3     3.0     45  12113 |   15  4021    0.2210    0.0147    0.0049 |
  262.275     3     3     3.0     45  12158 |   15  4036    0.2179    0.0145    0.0048 |
  263.250     3     3     3.0     45  12203 |   15  4051    0.2190    0.0146    0.0049 |
  264.225     3     3     3.0     45  12248 |   15  4066    0.2167    0.0144    0.0048 |
  265.200     3     3     3.0     45  12293 |   15  4081    0.2180    0.0145    0.0048 |
  266.175     3     3     3.0     45  12338 |   15  4096    0.2187    0.0146    0.0049 |
  267.150     3     3     3.0     45  12383 |   15  4111    0.2201    0.0147    0.0049 |
  268.125     3     3     3.0     45  12428 |   15  4126    0.2187    0.0146    0.0049 |
  269.100     3     3     3.0     45  12473 |   15  4141    0.2218    0.0148    0.0049 |
  270.075     3     3     3.0     45  12518 |   15  4156    0.2240    0.0149    0.0050 |
  271.050     3     3     3.0     45  12563 |   15  4171    0.2254    0.0150    0.0050 |
  272.025     3     3     3.0     45  12608 |   15  4186    0.2212    0.0147    0.0049 |
  273.000     3     3     3.0     45  12653 |   15  4201    0.2238    0.0149    0.0050 |
  273.975     3     3     3.0     45  12698 |   15  4216    0.2279    0.0152    0.0051 |
  274.950     3     3     3.0     45  12743 |   15  4231    0.2186    0.0146    0.0049 |
  275.925     3     3     3.0     45  12788 |   15  4246    0.2191    0.0146    0.0049 |
  276.900     3     3     3.0     45  12833 |   15  4261    0.2238    0.0149    0.0050 |
  277.875     3     3     3.0     45  12878 |   15  4276    0.2223    0.0148    0.0049 |
  278.850     3     3     3.0     45  12923 |   15  4291    0.2217    0.0148    0.0049 |
  279.825     3     3     3.0     45  12968 |   15  4306    0.2208    0.0147    0.0049 |
  280.800     3     3     3.0     45  13013 |   15  4321    0.2247    0.0150    0.0050 |
  281.775     3     3     3.0     45  13058 |   15  4336    0.2233    0.0149    0.0050 |
  282.750     3     3     3.0     45  13103 |   15  4351    0.2224    0.0148    0.0049 |
  283.725     3     3     3.0     45  13148 |   15  4366    0.2257    0.0150    0.0050 |
  284.700     3     3     3.0     45  13193 |   15  4381    0.2263    0.0151    0.0050 |
  285.675     3     3     3.0     45  13238 |   15  4396    0.2371    0.0158    0.0053 |
  286.650     3     3     3.0     45  13283 |   15  4411    0.2258    0.0151    0.0050 |
  287.625     3     3     3.0     45  13328 |   15  4426    0.2262    0.0151    0.0050 |
  288.600     3     3     3.0     45  13373 |   15  4441    0.2227    0.0148    0.0049 |
  289.575     3     3     3.0     45  13418 |   15  4456    0.2186    0.0146    0.0049 |
  290.550     3     3     3.0     45  13463 |   15  4471    0.2234    0.0149    0.0050 |
  291.525     3     3     3.0     45  13508 |   15  4486    0.2279    0.0152    0.0051 |
  292.500     3     3     3.0     45  13553 |   15  4501    0.2334    0.0156    0.0052 |
  293.475     3     3     3.0     45  13598 |   15  4516    0.2241    0.0149    0.0050 |
  294.450     3     3     3.0     45  13643 |   15  4531    0.2250    0.0150    0.0050 |
  295.425     3     3     3.0     45  13688 |   15  4546    0.2551    0.0170    0.0057 |
  296.400     3     3     3.0     45  13733 |   15  4561    0.2298    0.0153    0.0051 |
  297.375     3     3     3.0     45  13778 |   15  4576    0.2251    0.0150    0.0050 |
  298.350     3     3     3.0     45  13823 |   15  4591    0.2200    0.0147    0.0049 |
  299.325     3     3     3.0     45  13868 |   15  4606    0.2217    0.0148    0.0049 |
  300.300     3     3     3.0     45  13913 |   15  4621    0.2180    0.0145    0.0048 |
  301.275     3     3     3.0     45  13958 |   15  4636    0.2159    0.0144    0.0048 |
  302.250     3     3     3.0     45  14003 |   15  4651    0.2167    0.0144    0.0048 |
  303.225     3     3     3.0     45  14048 |   15  4666    0.2179    0.0145    0.0048 |
  304.200     3     3     3.0     45  14093 |   15  4681    0.2178    0.0145    0.0048 |
  305.175     3     3     3.0     45  14138 |   15  4696    0.2162    0.0144    0.0048 |
  306.150     3     3     3.0     45  14183 |   15  4711    0.2148    0.0143    0.0048 |
  307.125     3     3     3.0     45  14228 |   15  4726    0.2175    0.0145    0.0048 |
  308.100     3     3     3.0     45  14273 |   15  4741    0.2174    0.0145    0.0048 |
  309.075     3     3     3.0     45  14318 |   15  4756    0.2169    0.0145    0.0048 |
  310.050     3     3     3.0     45  14363 |   15  4771    0.2215    0.0148    0.0049 |
  311.025     3     3     3.0     45  14408 |   15  4786    0.2186    0.0146    0.0049 |
  312.000     3     3     3.0     45  14453 |   15  4801    0.2184    0.0146    0.0049 |
  312.975     3     3     3.0     45  14498 |   15  4816    0.2208    0.0147    0.0049 |
  313.950     3     3     3.0     45  14543 |   15  4831    0.2223    0.0148    0.0049 |
  314.925     3     3     3.0     45  14588 |   15  4846    0.2219    0.0148    0.0049 |
  315.900     3     3     3.0     45  14633 |   15  4861    0.2255    0.0150    0.0050 |
  316.875     3     3     3.0     45  14678 |   15  4876    0.2305    0.0154    0.0051 |
  317.850     3     3     3.0     45  14723 |   15  4891    0.2220    0.0148    0.0049 |
  318.825     3     3     3.0     45  14768 |   15  4906    0.2329    0.0155    0.0052 |
  319.800     3     3     3.0     45  14813 |   15  4921    0.2251    0.0150    0.0050 |
  320.775     3     3     3.0     45  14858 |   15  4936    0.2190    0.0146    0.0049 |
  321.750     3     3     3.0     45  14903 |   15  4951    0.2206    0.0147    0.0049 |
  322.725     3     3     3.0     45  14948 |   15  4966    0.2152    0.0143    0.0048 |
  323.700     3     3     3.0     45  14993 |   15  4981    0.2229    0.0149    0.0050 |
  324.675     3     3     3.0     45  15038 |   15  4996    0.2245    0.0150    0.0050 |
