          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  130.650    15  2011 |    0.0159    2.5865 |
  131.625    15  2026 |    0.0160    2.6025 |
  132.600    15  2041 |    0.0160    2.6184 |
  133.575    15  2056 |    0.0160    2.6344 |
  134.550    15  2071 |    0.0160    2.6504 |
  135.525    15  2086 |    0.0160    2.6664 |
  136.500    15  2101 |    0.0165    2.6829 |
  137.475    15  2116 |    0.0160    2.6989 |
  138.450    15  2131 |    0.0162    2.7150 |
  139.425    15  2146 |    0.0162    2.7312 |
  140.400    15  2161 |    0.0160    2.7472 |
  141.375    15  2176 |    0.0159    2.7631 |
  142.350    15  2191 |    0.0160    2.7791 |
  143.325    15  2206 |    0.0160    2.7951 |
  144.300    15  2221 |    0.0160    2.8110 |
  145.275    15  2236 |    0.0161    2.8271 |
  146.250    15  2251 |    0.0160    2.8431 |
  147.225    15  2266 |    0.0160    2.8591 |
  148.200    15  2281 |    0.0160    2.8751 |
  149.175    15  2296 |    0.0161    2.8912 |
  150.150    15  2311 |    0.0160    2.9071 |
  151.125    15  2326 |    0.0160    2.9231 |
  152.100    15  2341 |    0.0160    2.9391 |
  153.075    15  2356 |    0.0167    2.9558 |
  154.050    15  2371 |    0.0163    2.9721 |
  155.025    15  2386 |    0.0160    2.9881 |
  156.000    15  2401 |    0.0160    3.0041 |
  156.975    15  2416 |    0.0162    3.0204 |
  157.950    15  2431 |    0.0159    3.0362 |
  158.925    15  2446 |    0.0160    3.0522 |
  159.900    15  2461 |    0.0160    3.0682 |
  160.875    15  2476 |    0.0160    3.0842 |
  161.850    15  2491 |    0.0160    3.1002 |
  162.825    15  2506 |    0.0159    3.1161 |
  163.800    15  2521 |    0.0160    3.1321 |
  164.775    15  2536 |    0.0161    3.1482 |
  165.750    15  2551 |    0.0159    3.1641 |
  166.725    15  2566 |    0.0159    3.1800 |
  167.700    15  2581 |    0.0160    3.1960 |
  168.675    15  2596 |    0.0161    3.2121 |
