          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
   61.425     0     0     0.0      0      0 |   15   946    0.0721    0.0048    0.0000 |
   62.400     0     0     0.0      0      0 |   15   961    0.0716    0.0048    0.0000 |
   63.375     0     0     0.0      0      0 |   15   976    0.0717    0.0048    0.0000 |
   64.350     0     0     0.0      0      0 |   15   991    0.0718    0.0048    0.0000 |
   65.325     0     0     0.0      0      0 |   15  1006    0.0717    0.0048    0.0000 |
   66.300     0     0     0.0      0      0 |   15  1021    0.0721    0.0048    0.0000 |
   67.275     0     0     0.0      0      0 |   15  1036    0.0719    0.0048    0.0000 |
   68.250     0     0     0.0      0      0 |   15  1051    0.0718    0.0048    0.0000 |
   69.225     0     0     0.0      0      0 |   15  1066    0.0717    0.0048    0.0000 |
   70.200     0     0     0.0      0      0 |   15  1081    0.0719    0.0048    0.0000 |
   71.175     0     0     0.0      0      0 |   15  1096    0.0718    0.0048    0.0000 |
   72.150     0     0     0.0      0      0 |   15  1111    0.0719    0.0048    0.0000 |
   73.125     0     0     0.0      0      0 |   15  1126    0.0718    0.0048    0.0000 |
   74.100     0     0     0.0      0      0 |   15  1141    0.0718    0.0048    0.0000 |
   75.075     0     0     0.0      0      0 |   15  1156    0.0717    0.0048    0.0000 |
   76.050     0     0     0.0      0      0 |   15  1171    0.0717    0.0048    0.0000 |
   77.025     0     0     0.0      0      0 |   15  1186    0.0720    0.0048    0.0000 |
   78.000     0     0     0.0      0      0 |   15  1201    0.0717    0.0048    0.0000 |
   78.975     0     0     0.0      0      0 |   15  1216    0.0717    0.0048    0.0000 |
   79.950     0     0     0.0      0      0 |   15  1231    0.0721    0.0048    0.0000 |
   80.925     0     0     0.0      0      0 |   15  1246    0.0719    0.0048    0.0000 |
   81.900     0     0     0.0      0      0 |   15  1261    0.0717    0.0048    0.0000 |
   82.875     0     0     0.0      0      0 |   15  1276    0.0718    0.0048    0.0000 |
   83.850     0     0     0.0      0      0 |   15  1291    0.0721    0.0048    0.0000 |
   84.825     0     0     0.0      0      0 |   15  1306    0.0721    0.0048    0.0000 |
   85.800     0     0     0.0      0      0 |   15  1321    0.0718    0.0048    0.0000 |
   86.775     0     0     0.0      0      0 |   15  1336    0.0719    0.0048    0.0000 |
   87.750     0     0     0.0      0      0 |   15  1351    0.0718    0.0048    0.0000 |
   88.725     0     0     0.0      0      0 |   15  1366    0.0717    0.0048    0.0000 |
   89.700     0     0     0.0      0      0 |   15  1381    0.0717    0.0048    0.0000 |
   90.675     0     0     0.0      0      0 |   15  1396    0.0718    0.0048    0.0000 |
   91.650     0     0     0.0      0      0 |   15  1411    0.0719    0.0048    0.0000 |
   92.625     0     0     0.0      0      0 |   15  1426    0.0722    0.0048    0.0000 |
   93.600     0     0     0.0      0      0 |   15  1441    0.0718    0.0048    0.0000 |
   94.575     0     0     0.0      0      0 |   15  1456    0.0719    0.0048    0.0000 |
   95.550     0     0     0.0      0      0 |   15  1471    0.0718    0.0048    0.0000 |
   96.525     0     0     0.0      0      0 |   15  1486    0.0720    0.0048    0.0000 |
   97.500     0     0     0.0      0      0 |   15  1501    0.0717    0.0048    0.0000 |
   98.475     0     0     0.0      0      0 |   15  1516    0.0720    0.0048    0.0000 |
   99.450     0     0     0.0      0      0 |   15  1531    0.0720    0.0048    0.0000 |
  100.425     0     0     0.0      0      0 |   15  1546    0.0720    0.0048    0.0000 |
  101.400     0     0     0.0      0      0 |   15  1561    0.0718    0.0048    0.0000 |
  102.375     0     0     0.0      0      0 |   15  1576    0.0717    0.0048    0.0000 |
  103.350     0     0     0.0      0      0 |   15  1591    0.0720    0.0048    0.0000 |
  104.325     0     0     0.0      0      0 |   15  1606    0.0719    0.0048    0.0000 |
  105.300     0     0     0.0      0      0 |   15  1621    0.0721    0.0048    0.0000 |
  106.275     0     0     0.0      0      0 |   15  1636    0.0719    0.0048    0.0000 |
  107.250     0     0     0.0      0      0 |   15  1651    0.0718    0.0048    0.0000 |
  108.225     0     0     0.0      0      0 |   15  1666    0.0716    0.0048    0.0000 |
  109.200     0     0     0.0      0      0 |   15  1681    0.0717    0.0048    0.0000 |
  110.175     0     0     0.0      0      0 |   15  1696    0.0719    0.0048    0.0000 |
  111.150     0     0     0.0      0      0 |   15  1711    0.0719    0.0048    0.0000 |
  112.125     0     0     0.0      0      0 |   15  1726    0.0719    0.0048    0.0000 |
  113.100     0     0     0.0      0      0 |   15  1741    0.0717    0.0048    0.0000 |
  114.075     0     0     0.0      0      0 |   15  1756    0.0719    0.0048    0.0000 |
  115.050     0     0     0.0      0      0 |   15  1771    0.0719    0.0048    0.0000 |
  116.025     0     0     0.0      0      0 |   15  1786    0.0719    0.0048    0.0000 |
  117.000     0     0     0.0      0      0 |   15  1801    0.0720    0.0048    0.0000 |
  117.975     0     0     0.0      0      0 |   15  1816    0.0717    0.0048    0.0000 |
  118.950     0     0     0.0      0      0 |   15  1831    0.0717    0.0048    0.0000 |
  119.925     0     0     0.0      0      0 |   15  1846    0.0718    0.0048    0.0000 |
  120.900     0     0     0.0      0      0 |   15  1861    0.0719    0.0048    0.0000 |
  121.875     0     0     0.0      0      0 |   15  1876    0.0717    0.0048    0.0000 |
  122.850     0     0     0.0      0      0 |   15  1891    0.0719    0.0048    0.0000 |
  123.825     0     0     0.0      0      0 |   15  1906    0.0721    0.0048    0.0000 |
  124.800     0     0     0.0      0      0 |   15  1921    0.0719    0.0048    0.0000 |
  125.775     0     0     0.0      0      0 |   15  1936    0.0719    0.0048    0.0000 |
  126.750     0     0     0.0      0      0 |   15  1951    0.0717    0.0048    0.0000 |
  127.725     0     0     0.0      0      0 |   15  1966    0.0720    0.0048    0.0000 |
  128.700     0     0     0.0      0      0 |   15  1981    0.0715    0.0048    0.0000 |
  129.675     0     0     0.0      0      0 |   15  1996    0.0722    0.0048    0.0000 |
  130.650     0     0     0.0      0      0 |   15  2011    0.0719    0.0048    0.0000 |
  131.625     0     0     0.0      0      0 |   15  2026    0.0717    0.0048    0.0000 |
  132.600     0     0     0.0      0      0 |   15  2041    0.0740    0.0049    0.0000 |
  133.575     0     0     0.0      0      0 |   15  2056    0.0719    0.0048    0.0000 |
  134.550     0     0     0.0      0      0 |   15  2071    0.0718    0.0048    0.0000 |
  135.525     0     0     0.0      0      0 |   15  2086    0.0720    0.0048    0.0000 |
  136.500     0     0     0.0      0      0 |   15  2101    0.0719    0.0048    0.0000 |
  137.475     0     0     0.0      0      0 |   15  2116    0.0718    0.0048    0.0000 |
  138.450     0     0     0.0      0      0 |   15  2131    0.0723    0.0048    0.0000 |
  139.425     0     0     0.0      0      0 |   15  2146    0.0725    0.0048    0.0000 |
  140.400     0     0     0.0      0      0 |   15  2161    0.0718    0.0048    0.0000 |
  141.375     0     0     0.0      0      0 |   15  2176    0.0717    0.0048    0.0000 |
  142.350     0     0     0.0      0      0 |   15  2191    0.0718    0.0048    0.0000 |
  143.325     0     0     0.0      0      0 |   15  2206    0.0717    0.0048    0.0000 |
  144.300     0     0     0.0      0      0 |   15  2221    0.0718    0.0048    0.0000 |
  145.275     0     0     0.0      0      0 |   15  2236    0.0720    0.0048    0.0000 |
  146.250     0     0     0.0      0      0 |   15  2251    0.0719    0.0048    0.0000 |
  147.225     0     0     0.0      0      0 |   15  2266    0.0718    0.0048    0.0000 |
  148.200     0     0     0.0      0      0 |   15  2281    0.0723    0.0048    0.0000 |
  149.175     0     0     0.0      0      0 |   15  2296    0.0719    0.0048    0.0000 |
  150.150     0     0     0.0      0      0 |   15  2311    0.0721    0.0048    0.0000 |
  151.125     0     0     0.0      0      0 |   15  2326    0.0718    0.0048    0.0000 |
  152.100     0     0     0.0      0      0 |   15  2341    0.0719    0.0048    0.0000 |
  153.075     0     0     0.0      0      0 |   15  2356    0.0720    0.0048    0.0000 |
  154.050     0     0     0.0      0      0 |   15  2371    0.0720    0.0048    0.0000 |
  155.025     0     0     0.0      0      0 |   15  2386    0.0718    0.0048    0.0000 |
  156.000     0     0     0.0      0      0 |   15  2401    0.0719    0.0048    0.0000 |
  156.975     0     0     0.0      0      0 |   15  2416    0.0719    0.0048    0.0000 |
  157.950     0     0     0.0      0      0 |   15  2431    0.0718    0.0048    0.0000 |
  158.925     0     0     0.0      0      0 |   15  2446    0.0722    0.0048    0.0000 |
  159.900     0     0     0.0      0      0 |   15  2461    0.0719    0.0048    0.0000 |
  160.875     0     0     0.0      0      0 |   15  2476    0.0718    0.0048    0.0000 |
  161.850     0     0     0.0      0      0 |   15  2491    0.0728    0.0049    0.0000 |
  162.825     0     0     0.0      0      0 |   15  2506    0.0720    0.0048    0.0000 |
  163.800     0     0     0.0      0      0 |   15  2521    0.0722    0.0048    0.0000 |
  164.775     0     0     0.0      0      0 |   15  2536    0.0721    0.0048    0.0000 |
  165.750     0     0     0.0      0      0 |   15  2551    0.0720    0.0048    0.0000 |
  166.725     0     0     0.0      0      0 |   15  2566    0.0719    0.0048    0.0000 |
  167.700     0     0     0.0      0      0 |   15  2581    0.0718    0.0048    0.0000 |
  168.675     0     0     0.0      0      0 |   15  2596    0.0717    0.0048    0.0000 |
  169.650     0     0     0.0      0      0 |   15  2611    0.0719    0.0048    0.0000 |
  170.625     0     0     0.0      0      0 |   15  2626    0.0717    0.0048    0.0000 |
  171.600     0     0     0.0      0      0 |   15  2641    0.0719    0.0048    0.0000 |
  172.575     0     0     0.0      0      0 |   15  2656    0.0717    0.0048    0.0000 |
  173.550     0     0     0.0      0      0 |   15  2671    0.0716    0.0048    0.0000 |
  174.525     0     0     0.0      0      0 |   15  2686    0.0718    0.0048    0.0000 |
  175.500     0     0     0.0      0      0 |   15  2701    0.0720    0.0048    0.0000 |
  176.475     0     0     0.0      0      0 |   15  2716    0.0719    0.0048    0.0000 |
  177.450     0     0     0.0      0      0 |   15  2731    0.0719    0.0048    0.0000 |
  178.425     0     0     0.0      0      0 |   15  2746    0.0725    0.0048    0.0000 |
  179.400     0     0     0.0      0      0 |   15  2761    0.0720    0.0048    0.0000 |
  180.375     0     0     0.0      0      0 |   15  2776    0.0716    0.0048    0.0000 |
  181.350     0     0     0.0      0      0 |   15  2791    0.0720    0.0048    0.0000 |
  182.325     0     0     0.0      0      0 |   15  2806    0.0717    0.0048    0.0000 |
  183.300     0     0     0.0      0      0 |   15  2821    0.0718    0.0048    0.0000 |
  184.275     0     0     0.0      0      0 |   15  2836    0.0720    0.0048    0.0000 |
  185.250     0     0     0.0      0      0 |   15  2851    0.0720    0.0048    0.0000 |
  186.225     0     0     0.0      0      0 |   15  2866    0.0719    0.0048    0.0000 |
  187.200     0     0     0.0      0      0 |   15  2881    0.0717    0.0048    0.0000 |
  188.175     0     0     0.0      0      0 |   15  2896    0.0719    0.0048    0.0000 |
  189.150     0     0     0.0      0      0 |   15  2911    0.0720    0.0048    0.0000 |
  190.125     0     0     0.0      0      0 |   15  2926    0.0719    0.0048    0.0000 |
  191.100     0     0     0.0      0      0 |   15  2941    0.0717    0.0048    0.0000 |
  192.075     0     0     0.0      0      0 |   15  2956    0.0723    0.0048    0.0000 |
  193.050     0     0     0.0      0      0 |   15  2971    0.0719    0.0048    0.0000 |
  194.025     0     0     0.0      0      0 |   15  2986    0.0738    0.0049    0.0000 |
  195.000     0     0     0.0      0      0 |   15  3001    0.0718    0.0048    0.0000 |
  195.975     0     0     0.0      0      0 |   15  3016    0.0735    0.0049    0.0000 |
  196.950     0     0     0.0      0      0 |   15  3031    0.0731    0.0049    0.0000 |
  197.925     0     0     0.0      0      0 |   15  3046    0.0729    0.0049    0.0000 |
  198.900     0     0     0.0      0      0 |   15  3061    0.0728    0.0049    0.0000 |
  199.875     0     0     0.0      0      0 |   15  3076    0.0730    0.0049    0.0000 |
  200.850     0     5     4.3     65     65 |   15  3091    0.3174    0.0212    0.0049 |
  201.825     5     5     5.0     75    140 |   15  3106    0.3526    0.0235    0.0047 |
  202.800     5     5     5.0     75    215 |   15  3121    0.3564    0.0238    0.0048 |
  203.775     5     5     5.0     75    290 |   15  3136    0.3611    0.0241    0.0048 |
  204.750     5     5     5.0     75    365 |   15  3151    0.3611    0.0241    0.0048 |
  205.725     5     5     5.0     75    440 |   15  3166    0.3593    0.0240    0.0048 |
  206.700     5     5     5.0     75    515 |   15  3181    0.3581    0.0239    0.0048 |
  207.675     5     5     5.0     75    590 |   15  3196    0.3572    0.0238    0.0048 |
  208.650     5     5     5.0     75    665 |   15  3211    0.3534    0.0236    0.0047 |
  209.625     5     5     5.0     75    740 |   15  3226    0.3544    0.0236    0.0047 |
  210.600     5     5     5.0     75    815 |   15  3241    0.3560    0.0237    0.0047 |
  211.575     5     5     5.0     75    890 |   15  3256    0.3597    0.0240    0.0048 |
  212.550     5     5     5.0     75    965 |   15  3271    0.3579    0.0239    0.0048 |
  213.525     5     5     5.0     75   1040 |   15  3286    0.3561    0.0237    0.0047 |
  214.500     5     5     5.0     75   1115 |   15  3301    0.3539    0.0236    0.0047 |
  215.475     4     5     4.9     73   1188 |   15  3316    0.3477    0.0232    0.0048 |
  216.450     4     4     4.0     60   1248 |   15  3331    0.2950    0.0197    0.0049 |
  217.425     4     4     4.0     60   1308 |   15  3346    0.2965    0.0198    0.0049 |
  218.400     4     4     4.0     60   1368 |   15  3361    0.2972    0.0198    0.0050 |
  219.375     4     4     4.0     60   1428 |   15  3376    0.2976    0.0198    0.0050 |
  220.350     4     4     4.0     60   1488 |   15  3391    0.2970    0.0198    0.0050 |
  221.325     4     4     4.0     60   1548 |   15  3406    0.2980    0.0199    0.0050 |
  222.300     4     4     4.0     60   1608 |   15  3421    0.2986    0.0199    0.0050 |
  223.275     4     4     4.0     60   1668 |   15  3436    0.3004    0.0200    0.0050 |
  224.250     4     4     4.0     60   1728 |   15  3451    0.2994    0.0200    0.0050 |
  225.225     4     4     4.0     60   1788 |   15  3466    0.2983    0.0199    0.0050 |
  226.200     4     4     4.0     60   1848 |   15  3481    0.2973    0.0198    0.0050 |
  227.175     4     4     4.0     60   1908 |   15  3496    0.2962    0.0197    0.0049 |
  228.150     4     4     4.0     60   1968 |   15  3511    0.2991    0.0199    0.0050 |
  229.125     4     4     4.0     60   2028 |   15  3526    0.2974    0.0198    0.0050 |
  230.100     4     4     4.0     60   2088 |   15  3541    0.2956    0.0197    0.0049 |
  231.075     4     4     4.0     60   2148 |   15  3556    0.2965    0.0198    0.0049 |
  232.050     4     4     4.0     60   2208 |   15  3571    0.2983    0.0199    0.0050 |
  233.025     4     4     4.0     60   2268 |   15  3586    0.3047    0.0203    0.0051 |
  234.000     4     4     4.0     60   2328 |   15  3601    0.3007    0.0200    0.0050 |
  234.975     4     4     4.0     60   2388 |   15  3616    0.3065    0.0204    0.0051 |
  235.950     4     4     4.0     60   2448 |   15  3631    0.3070    0.0205    0.0051 |
  236.925     4     4     4.0     60   2508 |   15  3646    0.3001    0.0200    0.0050 |
  237.900     4     4     4.0     60   2568 |   15  3661    0.2978    0.0199    0.0050 |
  238.875     4     4     4.0     60   2628 |   15  3676    0.2988    0.0199    0.0050 |
  239.850     4     4     4.0     60   2688 |   15  3691    0.2977    0.0198    0.0050 |
  240.825     4     4     4.0     60   2748 |   15  3706    0.2994    0.0200    0.0050 |
  241.800     4     4     4.0     60   2808 |   15  3721    0.2975    0.0198    0.0050 |
  242.775     4     4     4.0     60   2868 |   15  3736    0.2983    0.0199    0.0050 |
  243.750     4     4     4.0     60   2928 |   15  3751    0.2991    0.0199    0.0050 |
  244.725     4     4     4.0     60   2988 |   15  3766    0.2992    0.0199    0.0050 |
  245.700     4     4     4.0     60   3048 |   15  3781    0.2963    0.0198    0.0049 |
  246.675     4     4     4.0     60   3108 |   15  3796    0.2995    0.0200    0.0050 |
  247.650     4     4     4.0     60   3168 |   15  3811    0.2990    0.0199    0.0050 |
  248.625     4     4     4.0     60   3228 |   15  3826    0.2978    0.0199    0.0050 |
  249.600     4     4     4.0     60   3288 |   15  3841    0.2991    0.0199    0.0050 |
  250.575     4     4     4.0     60   3348 |   15  3856    0.2984    0.0199    0.0050 |
  251.550     4     4     4.0     60   3408 |   15  3871    0.3046    0.0203    0.0051 |
  252.525     4     4     4.0     60   3468 |   15  3886    0.3003    0.0200    0.0050 |
  253.500     4     4     4.0     60   3528 |   15  3901    0.3058    0.0204    0.0051 |
  254.475     4     4     4.0     60   3588 |   15  3916    0.3019    0.0201    0.0050 |
  255.450     4     4     4.0     60   3648 |   15  3931    0.2976    0.0198    0.0050 |
  256.425     4     4     4.0     60   3708 |   15  3946    0.2990    0.0199    0.0050 |
  257.400     4     4     4.0     60   3768 |   15  3961    0.3003    0.0200    0.0050 |
  258.375     4     4     4.0     60   3828 |   15  3976    0.2975    0.0198    0.0050 |
  259.350     4     4     4.0     60   3888 |   15  3991    0.3002    0.0200    0.0050 |
  260.325     4     4     4.0     60   3948 |   15  4006    0.2973    0.0198    0.0050 |
  261.300     4     4     4.0     60   4008 |   15  4021    0.2991    0.0199    0.0050 |
  262.275     4     4     4.0     60   4068 |   15  4036    0.2983    0.0199    0.0050 |
  263.250     4     4     4.0     60   4128 |   15  4051    0.2993    0.0200    0.0050 |
  264.225     4     4     4.0     60   4188 |   15  4066    0.2980    0.0199    0.0050 |
  265.200     4     4     4.0     60   4248 |   15  4081    0.2987    0.0199    0.0050 |
  266.175     4     4     4.0     60   4308 |   15  4096    0.3006    0.0200    0.0050 |
  267.150     4     4     4.0     60   4368 |   15  4111    0.2981    0.0199    0.0050 |
  268.125     4     4     4.0     60   4428 |   15  4126    0.2998    0.0200    0.0050 |
  269.100     4     4     4.0     60   4488 |   15  4141    0.2996    0.0200    0.0050 |
  270.075     4     4     4.0     60   4548 |   15  4156    0.2959    0.0197    0.0049 |
  271.050     4     4     4.0     60   4608 |   15  4171    0.3004    0.0200    0.0050 |
  272.025     4     4     4.0     60   4668 |   15  4186    0.3000    0.0200    0.0050 |
  273.000     4     4     4.0     60   4728 |   15  4201    0.2972    0.0198    0.0050 |
  273.975     4     4     4.0     60   4788 |   15  4216    0.3001    0.0200    0.0050 |
  274.950     4     4     4.0     60   4848 |   15  4231    0.2962    0.0197    0.0049 |
  275.925     4     4     4.0     60   4908 |   15  4246    0.2982    0.0199    0.0050 |
  276.900     4     4     4.0     60   4968 |   15  4261    0.2976    0.0198    0.0050 |
  277.875     4     4     4.0     60   5028 |   15  4276    0.2984    0.0199    0.0050 |
  278.850     4     4     4.0     60   5088 |   15  4291    0.3005    0.0200    0.0050 |
  279.825     4     4     4.0     60   5148 |   15  4306    0.3005    0.0200    0.0050 |
  280.800     4     4     4.0     60   5208 |   15  4321    0.3005    0.0200    0.0050 |
  281.775     4     4     4.0     60   5268 |   15  4336    0.2976    0.0198    0.0050 |
  282.750     4     4     4.0     60   5328 |   15  4351    0.2956    0.0197    0.0049 |
  283.725     4     4     4.0     60   5388 |   15  4366    0.3020    0.0201    0.0050 |
  284.700     4     4     4.0     60   5448 |   15  4381    0.3027    0.0202    0.0050 |
  285.675     4     4     4.0     60   5508 |   15  4396    0.2980    0.0199    0.0050 |
  286.650     4     4     4.0     60   5568 |   15  4411    0.2992    0.0199    0.0050 |
  287.625     4     4     4.0     60   5628 |   15  4426    0.2960    0.0197    0.0049 |
  288.600     4     4     4.0     60   5688 |   15  4441    0.2984    0.0199    0.0050 |
  289.575     4     4     4.0     60   5748 |   15  4456    0.3005    0.0200    0.0050 |
  290.550     4     4     4.0     60   5808 |   15  4471    0.3100    0.0207    0.0052 |
  291.525     4     4     4.0     60   5868 |   15  4486    0.3073    0.0205    0.0051 |
  292.500     4     4     4.0     60   5928 |   15  4501    0.2980    0.0199    0.0050 |
  293.475     4     4     4.0     60   5988 |   15  4516    0.2939    0.0196    0.0049 |
  294.450     4     4     4.0     60   6048 |   15  4531    0.2936    0.0196    0.0049 |
  295.425     4     4     4.0     60   6108 |   15  4546    0.2936    0.0196    0.0049 |
  296.400     4     4     4.0     60   6168 |   15  4561    0.2934    0.0196    0.0049 |
  297.375     4     4     4.0     60   6228 |   15  4576    0.2933    0.0196    0.0049 |
  298.350     4     4     4.0     60   6288 |   15  4591    0.2936    0.0196    0.0049 |
  299.325     4     4     4.0     60   6348 |   15  4606    0.2931    0.0195    0.0049 |
  300.300     4     4     4.0     60   6408 |   15  4621    0.2944    0.0196    0.0049 |
  301.275     4     4     4.0     60   6468 |   15  4636    0.2932    0.0195    0.0049 |
  302.250     4     4     4.0     60   6528 |   15  4651    0.2989    0.0199    0.0050 |
  303.225     4     4     4.0     60   6588 |   15  4666    0.2990    0.0199    0.0050 |
  304.200     4     4     4.0     60   6648 |   15  4681    0.2985    0.0199    0.0050 |
  305.175     4     4     4.0     60   6708 |   15  4696    0.2982    0.0199    0.0050 |
  306.150     4     4     4.0     60   6768 |   15  4711    0.2938    0.0196    0.0049 |
  307.125     4     4     4.0     60   6828 |   15  4726    0.2933    0.0196    0.0049 |
  308.100     4     4     4.0     60   6888 |   15  4741    0.2938    0.0196    0.0049 |
  309.075     4     4     4.0     60   6948 |   15  4756    0.2937    0.0196    0.0049 |
  310.050     4     4     4.0     60   7008 |   15  4771    0.2942    0.0196    0.0049 |
  311.025     4     4     4.0     60   7068 |   15  4786    0.2934    0.0196    0.0049 |
  312.000     4     4     4.0     60   7128 |   15  4801    0.2933    0.0196    0.0049 |
  312.975     4     4     4.0     60   7188 |   15  4816    0.2932    0.0195    0.0049 |
  313.950     4     4     4.0     60   7248 |   15  4831    0.2932    0.0195    0.0049 |
  314.925     4     4     4.0     60   7308 |   15  4846    0.2993    0.0200    0.0050 |
  315.900     4     4     4.0     60   7368 |   15  4861    0.2988    0.0199    0.0050 |
  316.875     4     4     4.0     60   7428 |   15  4876    0.2981    0.0199    0.0050 |
  317.850     4     4     4.0     60   7488 |   15  4891    0.2985    0.0199    0.0050 |
  318.825     4     4     4.0     60   7548 |   15  4906    0.2950    0.0197    0.0049 |
  319.800     4     4     4.0     60   7608 |   15  4921    0.2929    0.0195    0.0049 |
  320.775     4     4     4.0     60   7668 |   15  4936    0.2943    0.0196    0.0049 |
  321.750     4     4     4.0     60   7728 |   15  4951    0.2941    0.0196    0.0049 |
  322.725     4     4     4.0     60   7788 |   15  4966    0.2935    0.0196    0.0049 |
  323.700     4     4     4.0     60   7848 |   15  4981    0.2954    0.0197    0.0049 |
  324.675     4     4     4.0     60   7908 |   15  4996    0.2937    0.0196    0.0049 |
  325.650     4     4     4.0     60   7968 |   15  5011    0.2940    0.0196    0.0049 |
  326.625     4     4     4.0     60   8028 |   15  5026    0.2931    0.0195    0.0049 |
  327.600     4     4     4.0     60   8088 |   15  5041    0.2939    0.0196    0.0049 |
