          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  130.650    15  2011 |    0.0307    4.1331 |
  131.625    15  2026 |    0.0308    4.1639 |
  132.600    15  2041 |    0.0327    4.1967 |
  133.575    15  2056 |    0.0308    4.2275 |
  134.550    15  2071 |    0.0308    4.2583 |
  135.525    15  2086 |    0.0308    4.2891 |
  136.500    15  2101 |    0.0308    4.3198 |
  137.475    15  2116 |    0.0309    4.3507 |
  138.450    15  2131 |    0.0311    4.3818 |
  139.425    15  2146 |    0.0311    4.4128 |
  140.400    15  2161 |    0.0307    4.4436 |
  141.375    15  2176 |    0.0309    4.4744 |
  142.350    15  2191 |    0.0310    4.5054 |
  143.325    15  2206 |    0.0307    4.5361 |
  144.300    15  2221 |    0.0311    4.5672 |
  145.275    15  2236 |    0.0308    4.5980 |
  146.250    15  2251 |    0.0308    4.6288 |
  147.225    15  2266 |    0.0307    4.6595 |
  148.200    15  2281 |    0.0308    4.6903 |
  149.175    15  2296 |    0.0308    4.7211 |
  150.150    15  2311 |    0.0307    4.7518 |
  151.125    15  2326 |    0.0308    4.7826 |
  152.100    15  2341 |    0.0308    4.8134 |
  153.075    15  2356 |    0.0310    4.8444 |
  154.050    15  2371 |    0.0310    4.8754 |
  155.025    15  2386 |    0.0307    4.9062 |
  156.000    15  2401 |    0.0307    4.9369 |
  156.975    15  2416 |    0.0308    4.9676 |
  157.950    15  2431 |    0.0307    4.9984 |
  158.925    15  2446 |    0.0308    5.0292 |
  159.900    15  2461 |    0.0309    5.0602 |
  160.875    15  2476 |    0.0310    5.0911 |
  161.850    15  2491 |    0.0308    5.1219 |
  162.825    15  2506 |    0.0309    5.1529 |
  163.800    15  2521 |    0.0311    5.1839 |
  164.775    15  2536 |    0.0307    5.2146 |
  165.750    15  2551 |    0.0310    5.2456 |
  166.725    15  2566 |    0.0308    5.2765 |
  167.700    15  2581 |    0.0307    5.3072 |
  168.675    15  2596 |    0.0308    5.3380 |
  169.650    15  2611 |    0.0309    5.3689 |
  170.625    15  2626 |    0.0308    5.3997 |
  171.600    15  2641 |    0.0308    5.4305 |
  172.575    15  2656 |    0.0308    5.4613 |
  173.550    15  2671 |    0.0308    5.4921 |
