          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  130.650    15  2011 |    0.0160    2.6082 |
  131.625    15  2026 |    0.0160    2.6242 |
  132.600    15  2041 |    0.0159    2.6401 |
  133.575    15  2056 |    0.0159    2.6560 |
  134.550    15  2071 |    0.0159    2.6718 |
  135.525    15  2086 |    0.0161    2.6879 |
  136.500    15  2101 |    0.0159    2.7038 |
  137.475    15  2116 |    0.0159    2.7197 |
  138.450    15  2131 |    0.0161    2.7357 |
  139.425    15  2146 |    0.0159    2.7516 |
  140.400    15  2161 |    0.0159    2.7675 |
  141.375    15  2176 |    0.0159    2.7835 |
  142.350    15  2191 |    0.0160    2.7994 |
  143.325    15  2206 |    0.0159    2.8154 |
  144.300    15  2221 |    0.0160    2.8314 |
  145.275    15  2236 |    0.0160    2.8474 |
  146.250    15  2251 |    0.0159    2.8633 |
  147.225    15  2266 |    0.0165    2.8797 |
  148.200    15  2281 |    0.0164    2.8962 |
  149.175    15  2296 |    0.0160    2.9122 |
  150.150    15  2311 |    0.0159    2.9281 |
  151.125    15  2326 |    0.0159    2.9440 |
  152.100    15  2341 |    0.0160    2.9600 |
  153.075    15  2356 |    0.0159    2.9758 |
  154.050    15  2371 |    0.0161    2.9919 |
  155.025    15  2386 |    0.0160    3.0079 |
  156.000    15  2401 |    0.0162    3.0240 |
  156.975    15  2416 |    0.0159    3.0399 |
  157.950    15  2431 |    0.0160    3.0559 |
  158.925    15  2446 |    0.0160    3.0718 |
  159.900    15  2461 |    0.0163    3.0881 |
  160.875    15  2476 |    0.0164    3.1045 |
  161.850    15  2491 |    0.0159    3.1204 |
  162.825    15  2506 |    0.0159    3.1363 |
  163.800    15  2521 |    0.0159    3.1522 |
  164.775    15  2536 |    0.0159    3.1682 |
  165.750    15  2551 |    0.0160    3.1842 |
  166.725    15  2566 |    0.0167    3.2009 |
  167.700    15  2581 |    0.0164    3.2173 |
  168.675    15  2596 |    0.0162    3.2335 |
  169.650    15  2611 |    0.0162    3.2497 |
  170.625    15  2626 |    0.0160    3.2658 |
  171.600    15  2641 |    0.0164    3.2821 |
  172.575    15  2656 |    0.0161    3.2983 |
  173.550    15  2671 |    0.0163    3.3146 |
  174.525    15  2686 |    0.0160    3.3306 |
  175.500    15  2701 |    0.0162    3.3468 |
  176.475    15  2716 |    0.0160    3.3628 |
  177.450    15  2731 |    0.0161    3.3790 |
  178.425    15  2746 |    0.0162    3.3952 |
  179.400    15  2761 |    0.0161    3.4113 |
  180.375    15  2776 |    0.0162    3.4275 |
  181.350    15  2791 |    0.0160    3.4435 |
  182.325    15  2806 |    0.0161    3.4595 |
  183.300    15  2821 |    0.0160    3.4756 |
  184.275    15  2836 |    0.0160    3.4916 |
  185.250    15  2851 |    0.0162    3.5078 |
  186.225    15  2866 |    0.0164    3.5242 |
  187.200    15  2881 |    0.0162    3.5404 |
  188.175    15  2896 |    0.0160    3.5564 |
  189.150    15  2911 |    0.0160    3.5725 |
  190.125    15  2926 |    0.0161    3.5885 |
  191.100    15  2941 |    0.0161    3.6046 |
  192.075    15  2956 |    0.0161    3.6207 |
  193.050    15  2971 |    0.0162    3.6370 |
  194.025    15  2986 |    0.0161    3.6531 |
  195.000    15  3001 |    0.0161    3.6692 |
  195.975    15  3016 |    0.0162    3.6854 |
  196.950    15  3031 |    0.0161    3.7016 |
  197.925    15  3046 |    0.0166    3.7181 |
  198.900    15  3061 |    0.0167    3.7349 |
  199.875    15  3076 |    0.0186    3.7535 |
  200.850    15  3091 |    0.0162    3.7698 |
  201.825    15  3106 |    0.0161    3.7859 |
  202.800    15  3121 |    0.0162    3.8021 |
  203.775    15  3136 |    0.0168    3.8190 |
  204.750    15  3151 |    0.0168    3.8358 |
  205.725    15  3166 |    0.0164    3.8522 |
  206.700    15  3181 |    0.0162    3.8685 |
  207.675    15  3196 |    0.0163    3.8848 |
  208.650    15  3211 |    0.0162    3.9010 |
  209.625    15  3226 |    0.0164    3.9174 |
  210.600    15  3241 |    0.0166    3.9340 |
  211.575    15  3256 |    0.0161    3.9502 |
  212.550    15  3271 |    0.0160    3.9662 |
