          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
   75.075     4     4     4.0     60   1544 |   15  1156    0.2584    0.0172    0.0043 |
   76.050     4     4     4.0     60   1604 |   15  1171    0.2604    0.0174    0.0043 |
   77.025     4     4     4.0     60   1664 |   15  1186    0.2607    0.0174    0.0043 |
   78.000     4     4     4.0     60   1724 |   15  1201    0.2598    0.0173    0.0043 |
   78.975     4     4     4.0     60   1784 |   15  1216    0.2603    0.0174    0.0043 |
   79.950     4     4     4.0     60   1844 |   15  1231    0.2595    0.0173    0.0043 |
   80.925     4     4     4.0     60   1904 |   15  1246    0.2603    0.0174    0.0043 |
   81.900     4     4     4.0     60   1964 |   15  1261    0.2593    0.0173    0.0043 |
   82.875     4     4     4.0     60   2024 |   15  1276    0.2598    0.0173    0.0043 |
   83.850     4     4     4.0     60   2084 |   15  1291    0.2604    0.0174    0.0043 |
   84.825     4     4     4.0     60   2144 |   15  1306    0.2599    0.0173    0.0043 |
   85.800     4     4     4.0     60   2204 |   15  1321    0.2598    0.0173    0.0043 |
   86.775     4     4     4.0     60   2264 |   15  1336    0.2589    0.0173    0.0043 |
   87.750     4     4     4.0     60   2324 |   15  1351    0.2602    0.0173    0.0043 |
   88.725     4     4     4.0     60   2384 |   15  1366    0.2596    0.0173    0.0043 |
   89.700     4     4     4.0     60   2444 |   15  1381    0.2589    0.0173    0.0043 |
   90.675     4     4     4.0     60   2504 |   15  1396    0.2631    0.0175    0.0044 |
   91.650     4     4     4.0     60   2564 |   15  1411    0.2660    0.0177    0.0044 |
   92.625     4     4     4.0     60   2624 |   15  1426    0.2629    0.0175    0.0044 |
   93.600     4     4     4.0     60   2684 |   15  1441    0.2681    0.0179    0.0045 |
   94.575     4     4     4.0     60   2744 |   15  1456    0.2719    0.0181    0.0045 |
   95.550     4     4     4.0     60   2804 |   15  1471    0.2623    0.0175    0.0044 |
   96.525     4     4     4.0     60   2864 |   15  1486    0.2594    0.0173    0.0043 |
   97.500     4     4     4.0     60   2924 |   15  1501    0.2583    0.0172    0.0043 |
   98.475     4     4     4.0     60   2984 |   15  1516    0.2581    0.0172    0.0043 |
   99.450     4     4     4.0     60   3044 |   15  1531    0.2619    0.0175    0.0044 |
  100.425     4     4     4.0     60   3104 |   15  1546    0.2598    0.0173    0.0043 |
  101.400     4     4     4.0     60   3164 |   15  1561    0.2586    0.0172    0.0043 |
  102.375     4     4     4.0     60   3224 |   15  1576    0.2579    0.0172    0.0043 |
  103.350     4     4     4.0     60   3284 |   15  1591    0.2595    0.0173    0.0043 |
  104.325     4     4     4.0     60   3344 |   15  1606    0.2588    0.0173    0.0043 |
  105.300     4     4     4.0     60   3404 |   15  1621    0.2594    0.0173    0.0043 |
  106.275     4     4     4.0     60   3464 |   15  1636    0.2587    0.0172    0.0043 |
  107.250     4     4     4.0     60   3524 |   15  1651    0.2596    0.0173    0.0043 |
  108.225     4     4     4.0     60   3584 |   15  1666    0.2595    0.0173    0.0043 |
  109.200     4     4     4.0     60   3644 |   15  1681    0.2586    0.0172    0.0043 |
  110.175     4     4     4.0     60   3704 |   15  1696    0.2629    0.0175    0.0044 |
  111.150     4     4     4.0     60   3764 |   15  1711    0.2598    0.0173    0.0043 |
  112.125     4     4     4.0     60   3824 |   15  1726    0.2586    0.0172    0.0043 |
  113.100     4     4     4.0     60   3884 |   15  1741    0.2598    0.0173    0.0043 |
  114.075     4     4     4.0     60   3944 |   15  1756    0.2614    0.0174    0.0044 |
  115.050     4     4     4.0     60   4004 |   15  1771    0.2632    0.0175    0.0044 |
  116.025     4     4     4.0     60   4064 |   15  1786    0.2632    0.0175    0.0044 |
  117.000     4     4     4.0     60   4124 |   15  1801    0.2654    0.0177    0.0044 |
  117.975     4     4     4.0     60   4184 |   15  1816    0.2690    0.0179    0.0045 |
  118.950     4     4     4.0     60   4244 |   15  1831    0.2617    0.0174    0.0044 |
  119.925     4     4     4.0     60   4304 |   15  1846    0.2598    0.0173    0.0043 |
  120.900     4     4     4.0     60   4364 |   15  1861    0.2592    0.0173    0.0043 |
  121.875     4     4     4.0     60   4424 |   15  1876    0.2602    0.0173    0.0043 |
  122.850     4     4     4.0     60   4484 |   15  1891    0.2654    0.0177    0.0044 |
  123.825     4     4     4.0     60   4544 |   15  1906    0.2662    0.0177    0.0044 |
  124.800     4     4     4.0     60   4604 |   15  1921    0.2700    0.0180    0.0045 |
  125.775     4     4     4.0     60   4664 |   15  1936    0.2606    0.0174    0.0043 |
  126.750     4     4     4.0     60   4724 |   15  1951    0.2607    0.0174    0.0043 |
  127.725     4     4     4.0     60   4784 |   15  1966    0.2608    0.0174    0.0043 |
  128.700     4     4     4.0     60   4844 |   15  1981    0.2595    0.0173    0.0043 |
  129.675     4     4     4.0     60   4904 |   15  1996    0.2585    0.0172    0.0043 |
  130.650     4     4     4.0     60   4964 |   15  2011    0.2591    0.0173    0.0043 |
  131.625     4     4     4.0     60   5024 |   15  2026    0.2594    0.0173    0.0043 |
  132.600     4     4     4.0     60   5084 |   15  2041    0.2584    0.0172    0.0043 |
  133.575     4     4     4.0     60   5144 |   15  2056    0.2592    0.0173    0.0043 |
  134.550     4     4     4.0     60   5204 |   15  2071    0.2591    0.0173    0.0043 |
  135.525     4     4     4.0     60   5264 |   15  2086    0.2594    0.0173    0.0043 |
  136.500     4     4     4.0     60   5324 |   15  2101    0.2591    0.0173    0.0043 |
  137.475     4     4     4.0     60   5384 |   15  2116    0.2579    0.0172    0.0043 |
  138.450     4     4     4.0     60   5444 |   15  2131    0.2584    0.0172    0.0043 |
  139.425     4     4     4.0     60   5504 |   15  2146    0.2579    0.0172    0.0043 |
  140.400     4     4     4.0     60   5564 |   15  2161    0.2592    0.0173    0.0043 |
  141.375     4     4     4.0     60   5624 |   15  2176    0.2585    0.0172    0.0043 |
  142.350     4     4     4.0     60   5684 |   15  2191    0.2598    0.0173    0.0043 |
